Name,Type,Address,Ratings,Location,Price,Image
Park Hyatt Saigon Hotel,Hotel,"2",5.0,Ho Chi Minh City,9500000,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2017/02/23/1745/Park-Hyatt-Saigon-P312-Exterior.jpg/Park-Hyatt-Saigon-P312-Exterior.16x9.jpg
SGN Parkroyal Hotel,Hotel,"309B-311 Nguyen Van Troi",4.5,Ho Chi Minh City,2800000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/39/42/70/parkroyal-saigon.jpg?w=700&h=-1&s=1
Acnos Grand Hotel,Hotel,"82-84 Cach Mang Thang 8 Street",4.2,Ho Chi Minh City,1500000,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/379101779.jpg?k=150018bfd7e11f99aa1b9955a906c48a47756b7812b60943bd0918fc8fd74ae5&o=
Grand Hotel,Hotel,"Ho Chi Minh City, Vietnam",4.4,Ho Chi Minh City,3200000,https://www.traveltomtom.net/images/nieuwe_indeling/artikels/vietnam/grand_hotel_saigon_review/grand_hotel_saigon_1.jpg
Grand Silverland Hotel,Hotel,"Ho Chi Minh City, Vietnam",4.6,Ho Chi Minh City,2800000,https://cdn2.vietnambooking.com/wp-content/uploads/hotel_pro/hotel_334851/3d5f49e0ee069de7be6a4fd00839b5df.jpg
Royal Lotus Hotel,Hotel,"24 Thi Sach",4.3,Ho Chi Minh City,2200000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f4/11/dc/lotus-saigon-hotel.jpg?w=700&h=-1&s=1
Camelia Central Saigon Hotel,Hotel,"19 Dong Du, District 1",3.0,Ho Chi Minh City,1100000,https://camelia-saigon-central-ho-chi-minh-city.hochiminh-top-hotels.com/data/Photos/OriginalPhoto/9649/964912/964912939/photo-camelia-saigon-central-hotel-ho-chi-minh-city-6.JPEG
Grand Saigon Hotel,Hotel,"Ho Chi Minh City, Vietnam",4.7,Ho Chi Minh City,4100000,https://du-lich.chudu24.com/f/m/2105/20/khach-san-grand-saigon-80.jpg?w=1200&h=800
Grand Eastin Hotel,Hotel,"Ho Chi Minh City, Vietnam",4.5,Ho Chi Minh City,3500000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/a0/c7/facade.jpg?w=1400&h=-1&s=1
Royal Hotel Saigon,Hotel,"Ho Chi Minh City, Vietnam",4.3,Ho Chi Minh City,2100000,https://c8.alamy.com/comp/JFG671/royal-hotel-saigon-in-ho-chi-minh-city-vietnam-asia-JFG671.jpg
Regal Luxury,Hotel,"Ho Chi Minh City, Vietnam",3.9,Ho Chi Minh City,950000,https://images.luxuryescapes.com/fl_progressive,q_auto:eco/gneo9fura76d3qfnox58
Sotetsu Grand Fresa Saigon,Hotel,"Ho Chi Minh City, Vietnam",4.4,Ho Chi Minh City,2300000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/ba/1d/4e/sotetsu-grand-fresa-saigon.jpg?w=700&h=-1&s=1
Mia Saigon Luxury Boutique Hotel,Hotel,"Ho Chi Minh City, Vietnam",4.9,Ho Chi Minh City,6800000,https://www.miasaigon.com/wp-content/uploads/2020/12/MSG-Cover-Banner-Festive-Staycation-In-Style.jpg
Sofitel Plaza Saigon Hotel,Hotel,"17 Le Duan",4.8,Ho Chi Minh City,5500000,https://www.ahstatic.com/photos/2077_ho_00_p_1024x768.jpg
Jw Marriott Saigon Hotel & Suites,Hotel,"39 Le Duan, District 1",4.9,Ho Chi Minh City,8200000,https://du-lich.chudu24.com/f/m/2501/15/khu-can-ho-jw-marriott-hotel-suites-sai-gon-1.jpg
Novotel Saigon Centre Hotel,Hotel,"167 Hai Ba Trung",4.6,Ho Chi Minh City,3600000,https://forbes.vn/wp-content/uploads/2022/10/NCS-Hotel-Exterior-769x1024.jpg
Hilton Saigon,Hotel,"11 Me Linh Square, District 1",4.7,Ho Chi Minh City,5800000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/3f/59/e4/exterior.jpg?w=700&h=-1&s=1
Ibis Sai Gon Airport Hotel,Hotel,"Ho Chi Minh City, Vietnam",4.2,Ho Chi Minh City,2100000,https://www.ahstatic.com/photos/9468_ho_00_p_1024x768.jpg
Sheraton Saigon Hotel,Hotel,"88 Dong Khoi",4.8,Ho Chi Minh City,6500000,https://ak-d.tripcdn.com/images/1mc0a12000ct7e1oq2E72_R_960_660_R5_D.jpg
